artifact,sha256,scope
outputs/audit/SINASC_DAILY_G2_SCHEMA_AUDIT.csv,e396d8e4219cafc05079807415f57b573be026d4e448062971276e12affbb485,G2_only_no_full_primary_or_G3_estimation
outputs/audit/SINASC_DAILY_G2_SAMPLE_COUNTS.csv,f3d923ca9f2a59621cd7723820ab73633c3aa26a80340b7072f893b3ee4658c1,G2_only_no_full_primary_or_G3_estimation
outputs/audit/SINASC_DAILY_G2_LEAP_EXCLUSIONS.csv,c1cb33b98d139119767d2fe1315f30cd1b95a0185d9f3df200b8fc417e5d8839,G2_only_no_full_primary_or_G3_estimation
outputs/audit/SINASC_DAILY_G2_MODEL_REGISTRY.csv,9379d88f1aa64d5010d261b6a35474ec96a7ce2dc9aa418a1de1538a87f64b73,G2_only_no_full_primary_or_G3_estimation
outputs/tables/SINASC_DAILY_PLACEBOS.csv,6ee7e6a96aee660dcab34cc77abc7d066efa6fe67a87b1becf7bf1588f01bd33,G2_only_no_full_primary_or_G3_estimation
outputs/tables/SINASC_DAILY_G2_ANNUAL_JUMPS.csv,818afffe9359540cad253a48d62bdecd9da6ab7836428a84239cdf70f7421b78,G2_only_no_full_primary_or_G3_estimation
outputs/tables/SINASC_DAILY_G2_LEAVE_ONE_OUT.csv,1b8458fc9c577209e92347955c933887bfc41fe6fbdf63ba74301fba1a1b42ef,G2_only_no_full_primary_or_G3_estimation
outputs/audit/SINASC_DAILY_G2_GATE_STATUS.csv,cd7cb3dc159c228efcf743bbc4d6ad921bc76b888d269aaa471e758d9cb39a4d,G2_only_no_full_primary_or_G3_estimation
outputs/analysis/SINASC_DAILY_GATE_G2.md,d90f0fc03620756dc210b9ce672c8544c1f41ace5d22329f2057fdfe05385da2,G2_only_no_full_primary_or_G3_estimation
outputs/figures/FIGURE_SINASC_DAILY_G2_ANNUAL_JUMPS.pdf,87fb993b4a29b814c14a4d800fc4246cce31218903952e49ad48055ca581dbd3,G2_only_no_full_primary_or_G3_estimation
outputs/figures/FIGURE_SINASC_DAILY_G2_ANNUAL_JUMPS.png,b99f061c13809142154ed7c4c05ef29306c1d97b919066afe770c863248228bb,G2_only_no_full_primary_or_G3_estimation
