artifact,sha256,scope
outputs/audit/SINASC_DAILY_G3_SCHEMA_AUDIT.csv,79905bff5942d885c331a3c1627633ecd14009d63cceb725d5bbfe14b3179367,G3_full_frozen_analysis_post_result_protocol
outputs/audit/SINASC_DAILY_G3_SAMPLE_RECONCILIATION.csv,6216e5a912c37703207796823a099299b7c59a1bf4bafb094ed1281059f8b68f,G3_full_frozen_analysis_post_result_protocol
outputs/audit/SINASC_DAILY_G3_SAMPLE_AUDIT.csv,31fcaaac9495f54919d3dc6d7f2ef25a551991eabfe9cd588a1a2994e4cf8b48,G3_full_frozen_analysis_post_result_protocol
outputs/audit/SINASC_DAILY_G3_SOFTWARE.csv,2c742d59244d476ece68c017afdf1f769d988d636ddf3f3e99e6e0a3b5af7ffe,G3_full_frozen_analysis_post_result_protocol
outputs/audit/SINASC_DAILY_G3_MODEL_REGISTRY.csv,e4a083c8b00a0779e1118edd4f8c57231d5f82204049d8bca4428cafa26efea8,G3_full_frozen_analysis_post_result_protocol
outputs/audit/SINASC_DAILY_G3_GATE_STATUS.csv,6fb13090635186d576571bb3bcb16b8b3c8c319e95266eea2707313ea4580304,G3_full_frozen_analysis_post_result_protocol
outputs/tables/SINASC_DAILY_PRIMARY.csv,9ed5c7f0d53c9ff0f78c772e4338acc6cf37e6a062a5d03a81c3373a33ca9398,G3_full_frozen_analysis_post_result_protocol
outputs/tables/SINASC_DAILY_SECONDARY.csv,14108d0c3eeaa1b7eb0cbe4fb1603471ff3fd4b4116ceefe618c1aae8cb2620a,G3_full_frozen_analysis_post_result_protocol
outputs/tables/SINASC_DAILY_SENSITIVITY.csv,b39d46fb57f6ae32cd340ff186b61c3d4a5f9db45473357ecb2fa85710892982,G3_full_frozen_analysis_post_result_protocol
outputs/tables/SINASC_DAILY_RDROBUST.csv,29c9749c40e4b584837b08c4dcf5a6109088cc2a3666357416ee37a237285f7a,G3_full_frozen_analysis_post_result_protocol
outputs/analysis/SINASC_DAILY_RESULTS.md,f1c9d83b1916831dc7b18d6e7b98e3dcf56e525cb58e619c6dc8d72ec2d1add9,G3_full_frozen_analysis_post_result_protocol
outputs/figures/FIGURE_14_SINASC_DAILY_RD.pdf,4497dec385d1ec484b346a33403885a1468e6e83a8548fa0d6845180800f259e,G3_full_frozen_analysis_post_result_protocol
outputs/figures/FIGURE_14_SINASC_DAILY_RD.png,14cbce5d8c8bce262ac0d5083c1c47b7eff507ec5037ffc0d9c3ebf611bbc887,G3_full_frozen_analysis_post_result_protocol
outputs/figures/FIGURE_SINASC_DAILY_G3_SENSITIVITY.pdf,45b0839ae2b380ab9ce2ca2c0d342ae757ab64753ccd42f0b1658db7ff8da5b5,G3_full_frozen_analysis_post_result_protocol
outputs/figures/FIGURE_SINASC_DAILY_G3_SENSITIVITY.png,1c3fbee5974d7af90bd17f0033de01ca54f20ac6456b806fab4747c9bc252e80,G3_full_frozen_analysis_post_result_protocol
